,date,account_value
164,2019-09-04,11231180.988423988
165,2019-09-05,11381811.224965736
166,2019-09-06,11548520.9804589
167,2019-09-09,11710130.058660194
168,2019-09-11,11716127.36264579
169,2019-09-12,11604390.265760109
170,2019-09-13,11683030.803075477
171,2019-09-16,11698334.14440696
172,2019-09-17,11657848.88821952
173,2019-09-18,11749187.152623817
174,2019-09-19,11646607.324430153
175,2019-09-20,12492159.93851249
176,2019-09-23,12975549.389020607
177,2019-09-24,12806531.830663368
178,2019-09-25,12725432.204770729
179,2019-09-26,12933298.613561317
180,2019-09-27,12916825.405507728
181,2019-09-30,12900241.003087685
182,2019-10-01,12774964.685025856
183,2019-10-03,12729948.278112099
184,2019-10-04,12491834.244977638
185,2019-10-07,12522953.514386818
186,2019-10-09,12784475.076802894
