date,tweets,news,tic
2016-01-05,-0.006146359,-0.055799359,M&M.BO
2016-01-05,0.11041521,-0.007111655,MARUTI.BO
2016-01-05,0.296980488,0.104399437,NESTLEIND.BO
2016-01-05,0.055410646,-0.025209427,NTPC.BO
2016-01-05,0.116488198,-0.049374955,ONGC.BO
2016-01-05,-0.000486637,0.253169366,POWERGRID.BO
2016-01-05,0,0.046730162,RELIANCE.BO
2016-01-05,-0.099131761,-0.004634916,SBIN.BO
2016-01-05,0.236026697,0.064893187,SUNPHARMA.BO
2016-01-05,0,-0.03362632,TCS.BO
2016-01-05,0,-0.112729138,TECHM.BO
2016-01-05,0,0.001460357,TITAN.BO
2016-01-05,0.349615382,0,ULTRACEMCO.BO
2016-01-06,0.180788366,0.116448301,ASIANPAINT.BO
2016-01-06,-0.01727654,0.072718826,AXISBANK.BO
2016-01-06,-0.047043085,0.057552228,BAJAJ-AUTO.BO
2016-01-06,0.265357131,0.029282958,BAJFINANCE.BO
2016-01-06,-0.138266548,0.051324544,BAJAJFINSV.BO
2016-01-06,0,0.040115746,BHARTIARTL.BO
2016-01-06,0,-0.202776739,DRREDDY.BO
2016-01-06,0.211532457,-0.034567274,HCLTECH.BO
2016-01-06,0.000225389,-0.001946899,HDFC.BO
2016-01-06,0.006723272,0.027841327,HDFCBANK.BO
2016-01-06,0,0.118453793,HINDUNILVR.BO
2016-01-06,0.107862136,0.018028984,ICICIBANK.BO
2016-01-06,0.169030546,-0.066337708,INDUSINDBK.BO
2016-01-06,0.107467262,-0.039866154,INFY.BO
2016-01-06,0.09606624,0.021646186,ITC.BO
2016-01-06,0.213568284,0.084428591,KOTAKBANK.BO
2016-01-06,0,0,LT.BO
2016-01-06,0.093331604,-0.002614725,M&M.BO
2016-01-06,0.129644164,0.09710939,MARUTI.BO
2016-01-06,0.27196461,0.144915264,NESTLEIND.BO
2016-01-06,-0.0993265,-0.027381105,NTPC.BO
2016-01-06,-0.054387705,0.182184636,ONGC.BO
2016-01-06,0,-0.128489413,POWERGRID.BO
2016-01-06,0.085956389,0.067030445,RELIANCE.BO
2016-01-06,-0.093108828,-0.069069134,SBIN.BO
2016-01-06,0.065077662,-0.015669097,SUNPHARMA.BO
2016-01-06,0,-0.034409879,TCS.BO
2016-01-06,0,0.00568018,TECHM.BO
2016-01-06,0.071803411,0.00717914,TITAN.BO
2016-01-06,0,0,ULTRACEMCO.BO
2016-01-07,0.192004363,0.002324354,ASIANPAINT.BO
2016-01-07,0.086827054,-0.051580579,AXISBANK.BO
2016-01-07,0.051526304,0.017890447,BAJAJ-AUTO.BO
2016-01-07,0.278013709,-0.030556292,BAJFINANCE.BO
2016-01-07,0,0.060158738,BAJAJFINSV.BO
2016-01-07,0,0.035998979,BHARTIARTL.BO
2016-01-07,0,0,DRREDDY.BO
2016-01-07,0.030296474,0.059483179,HCLTECH.BO
2016-01-07,0.0620132,-0.043731507,HDFC.BO
2016-01-07,0.092479699,-0.045998904,HDFCBANK.BO
2016-01-07,0,0,HINDUNILVR.BO
2016-01-07,0.056597537,0.002259374,ICICIBANK.BO
2016-01-07,-0.027196401,-0.004823068,INDUSINDBK.BO
2016-01-07,0.005511441,-0.015982376,INFY.BO
2016-01-07,0.004621516,-0.000164265,ITC.BO
2016-01-07,0.033368524,0.014666116,KOTAKBANK.BO
2016-01-07,0,-0.009645976,LT.BO
2016-01-07,0.087870515,0.067781779,M&M.BO
2016-01-07,0.063454682,-0.014840854,MARUTI.BO
2016-01-07,0.137255236,0.075593184,NESTLEIND.BO
2016-01-07,0.127508669,-0.048385666,NTPC.BO
2016-01-07,-0.046142491,0.224889376,ONGC.BO
2016-01-07,0.113930222,-0.105109516,POWERGRID.BO
2016-01-07,0,0.029850847,RELIANCE.BO
2016-01-07,-0.122419517,-0.007659893,SBIN.BO
2016-01-07,0.237353813,0.028780954,SUNPHARMA.BO
